stage,sample,wall_ms,game_ms,render_ms,draw_calls,process_bytes,world_actors,parcels,instances,batches
9,120,6.7961,1.7381,6.6883,589,4687212544,123,6,21,19
9,121,6.2594,1.7250,6.2765,527,4687212544,123,6,21,19
9,122,5.7071,1.6100,5.8420,526,4687216640,123,6,21,19
9,123,6.2795,1.5942,5.8871,542,4687216640,123,6,21,19
9,124,6.4429,1.9947,6.4504,529,4687216640,123,6,21,19
9,125,5.3830,1.8831,5.8832,528,4687216640,123,6,21,19
9,126,6.7622,1.4700,6.6149,588,4687216640,123,6,21,19
9,127,5.8284,1.5574,5.6819,527,4687216640,123,6,21,19
9,128,6.6591,1.9179,6.2476,527,4687216640,123,6,21,19
9,129,6.4351,2.1799,6.4902,540,4687224832,123,6,21,19
9,130,6.0486,1.9218,6.2167,527,4687224832,123,6,21,19
9,131,5.8864,1.7999,5.9626,529,4687224832,123,6,21,19
9,132,6.4112,1.7580,6.0995,588,4687224832,123,6,21,19
9,133,6.5485,2.3571,6.2972,527,4687224832,123,6,21,19
9,134,5.6686,1.9304,6.5067,526,4687228928,123,6,21,19
9,135,5.7898,1.6468,5.5856,542,4687233024,123,6,21,19
9,136,6.6059,1.6675,6.5255,527,4687233024,123,6,21,19
9,137,6.0721,1.6260,6.2087,527,4687237120,123,6,21,19
9,138,5.9549,1.4768,6.0214,588,4687237120,123,6,21,19
9,139,6.6899,1.5803,6.1550,526,4687241216,123,6,21,19
9,140,5.6188,1.9347,5.9861,526,4687241216,123,6,21,19
9,141,6.2736,1.6418,6.2240,541,4687241216,123,6,21,19
9,142,6.3597,1.6954,6.2760,527,4687241216,123,6,21,19
9,143,5.6074,1.5142,5.8645,527,4687241216,123,6,21,19
9,144,6.2187,1.5773,6.0478,588,4687245312,123,6,21,19
9,145,7.7888,1.8006,7.1111,526,4687245312,123,6,21,19
9,146,5.2602,2.0644,5.8516,526,4687249408,123,6,21,19
9,147,5.1439,1.4683,5.3649,541,4687257600,123,6,21,19
9,148,7.5947,1.5874,7.1636,529,4687261696,123,6,21,19
9,149,5.9008,1.9740,5.8049,527,4687261696,123,6,21,19
9,150,5.2418,1.9812,5.4911,588,4687261696,123,6,21,19
9,151,6.3241,1.6402,6.0414,527,4687261696,123,6,21,19
9,152,6.5351,1.9954,6.7603,526,4687265792,123,6,21,19
9,153,5.9296,1.5402,6.1208,540,4687265792,123,6,21,19
9,154,5.7430,1.5710,5.5333,527,4687265792,123,6,21,19
9,155,6.0604,1.7107,6.0404,526,4687265792,123,6,21,19
9,156,7.0003,1.5382,7.1428,588,4687269888,123,6,21,19
9,157,5.4543,1.5292,5.4878,529,4687269888,123,6,21,19
9,158,6.5463,1.7331,6.1936,526,4687269888,123,6,21,19
9,159,5.7608,1.7650,5.9550,541,4687269888,123,6,21,19
9,160,6.2310,1.5847,6.2423,527,4687278080,123,6,21,19
9,161,6.6679,1.5607,6.3896,526,4687282176,123,6,21,19
9,162,6.0756,2.1075,6.1253,588,4687294464,123,6,21,19
9,163,6.3676,1.6720,6.6092,527,4687294464,123,6,21,19
